Protein	Q_Value
HPRR4350017	0.0
HPRR3720532	0.0
HPRR3770042	0.0
HPRR3730276	0.0
HPRR3720232	0.0
HPRR2551632	0.0
HPRR4060128	0.0
HPRR3830190	0.0
HPRR2150237	0.0
HPRR2200011	0.0
HPRR4040007	0.0
HPRR2640051	0.0
HPRR3000481	0.0
HPRR3760142	0.0
HPRR280111	0.0
HPRR1950679	0.0
HPRR4000324	0.0
HPRR2501480	0.0
HPRR1951347	0.0
HPRR2280170	0.0
HPRR680239	0.0
HPRR4190087	0.0
HPRR4120251	0.0
HPRR233074	0.0
HPRR3920052	0.0
HPRR1310038	0.0
HPRR640048	0.0
HPRR3830287	0.0
HPRR1951371	0.0
HPRR2050032	0.0
HPRR1950385	0.0
HPRR4040559	0.0
HPRR2970116	0.0
HPRR4030012	0.0
HPRR2390061	0.0
HPRR4030132	0.0
HPRR2360054	0.0
HPRR3730250	0.0
HPRR2551184	0.0
HPRR1950528	0.0
HPRR3830169	0.0
HPRR3890570	0.0
HPRR2760304	0.0
HPRR2700179	0.0
HPRR1951792	0.0
HPRR2930357	0.0
HPRR1450363	0.0
HPRR3790667	0.0
HPRR230870,HPRR4200118	0.0
HPRR4180065	0.0
HPRR3760407	0.0
HPRR4160392	0.0
HPRR3760498	0.0
HPRR3760711	0.0
HPRR3890095	0.0
HPRR2550362	0.0
HPRR3020476	0.0
HPRR1840184	0.0
HPRR390019	0.0
HPRR1950515	0.0
HPRR3890141	0.0
HPRR4350028	0.0
HPRR2320220	0.0
HPRR4440366	0.0
HPRR140662	0.0
HPRR2550633	0.0
HPRR1951645	0.0
HPRR4280132	0.0
HPRR4110358	0.0
HPRR3760696	0.0
HPRR1951865	0.0
HPRR4240053	0.0
HPRR3950052	0.0
HPRR3720617	0.0
HPRR3760434	0.0
HPRR3730410	0.0
HPRR3790495	0.0
HPRR4160447	0.0
HPRR2551324	0.0
HPRR3970041	0.0
HPRR3780090	0.0
HPRR3890842	0.0
HPRR2210058	0.0
HPRR4060165	0.0
HPRR2550550	0.0
HPRR2440464	0.0
HPRR1450073	0.0
HPRR1710003	0.0
HPRR2551682	0.0
HPRR3970058	0.0
HPRR3730314	0.0
HPRR2010050	0.0
HPRR4520046	0.0
HPRR260088	0.0
HPRR2050226	0.0
HPRR2510306	0.0
HPRR4530049	0.0
HPRR2250382	0.0
HPRR540010	0.0
HPRR3760883	0.0
HPRR231541	0.0
HPRR4110252	0.0
HPRR2760146	0.0
HPRR4060158	0.0
HPRR3950112	0.0
HPRR4000204	0.0
HPRR2110442	0.0
HPRR1850008	0.0
HPRR4220263	0.0
HPRR370244	0.0
HPRR4000237	0.0
HPRR3730022	0.0
HPRR4160683	0.0
HPRR4470196	0.0
HPRR4160302	0.0
HPRR2390049	0.0
HPRR4190550	0.0
HPRR3770043	0.0
HPRR4470205	0.0
HPRR1370013	0.0
HPRR3690184	0.0
HPRR3730168	0.0
HPRR1951385,HPRR3760825	0.0
HPRR4190190	0.0
HPRR3940080	0.0
HPRR290033	0.0
HPRR1950229	0.0
HPRR280079	0.0
HPRR500030	0.0
HPRR2500196	0.0
HPRR2550573	0.0
HPRR4290148	0.0
HPRR4110123	0.0
HPRR1951788,HPRR4220485	0.0
HPRR340181	0.0
HPRR280081	0.0
HPRR1450319	0.0
HPRR4030471	0.0
HPRR330224	0.0
HPRR4050190	0.0
HPRR3730589	0.0
HPRR3730453	0.0
HPRR2110077	0.0
HPRR4440122	0.0
HPRR2310049	0.0
HPRR2810254	0.0
HPRR3720166	0.0
HPRR4390367	0.0
HPRR2210116	0.0
HPRR4420246	0.0
HPRR1440139	0.0
HPRR4190113	0.0
HPRR1010001	0.0
HPRR3760527	0.0
HPRR4080136	0.0
HPRR4030335	0.0
HPRR4350071	0.0
HPRR231837	0.0
HPRR2620016	0.0
HPRR3760365	0.0
HPRR2760180	0.0
HPRR330275	0.0
HPRR4030092	0.0
HPRR4350010	0.0
HPRR4280057	0.0
HPRR2440405	0.0
HPRR4430109	0.0
HPRR4030352	0.0
HPRR4160788	0.0
HPRR3880239	0.0
HPRR4350072	0.0
HPRR4030303	0.0
HPRR1951263	0.0
HPRR3790889	0.0
HPRR2440760	0.0
HPRR2640146	0.0
HPRR3720421	0.0
HPRR4420307	0.0
HPRR2300033	0.0
HPRR4420016	0.0
HPRR2540609	0.0
HPRR4030441	0.0
HPRR231756	0.0
HPRR3760446	0.0
HPRR4340107	0.0
HPRR1950075	0.0
HPRR3120119,HPRR4500051	0.0
HPRR1951653	0.0
HPRR2810004	0.0
HPRR2750112	0.0
HPRR1952070	0.0
HPRR4000109	0.0
HPRR3830237	0.0
HPRR2490019	0.0
HPRR4290343	0.0
HPRR4320282	0.0
HPRR2260008	0.0
HPRR3920089	0.0
HPRR3730312	0.0
HPRR4320428	0.0
HPRR3730429	0.0
HPRR1470130	0.0
HPRR1410063	0.0
HPRR2470377	0.0
HPRR2540222	0.0
HPRR3950025	0.0
HPRR3330016	0.0
HPRR4320381	0.0
HPRR1370116	0.0
HPRR4310047	0.0
HPRR4470317	0.0
HPRR2441086	0.0
HPRR4120086	0.0
HPRR4320491	0.0
HPRR4320393	0.0
HPRR4320317	0.0111731843575419
HPRR2540435	0.021917808219178082
HPRR4320403	0.021917808219178082
HPRR4291057	0.021917808219178082
HPRR4320299	0.021917808219178082
HPRR4320399	0.021917808219178082
HPRR4320660	0.02710027100271003
HPRR4340104	0.02710027100271003
HPRR4320680	0.02710027100271003
HPRR4320127	0.03763440860215054
HPRR4320525	0.048
HPRR4320047	0.05291005291005291
HPRR4320185	0.05291005291005291
HPRR4320441	0.06806282722513089
HPRR4320036	0.08247422680412371
HPRR4320632	0.08247422680412371
HPRR4320323	0.08247422680412371
HPRR4320165	0.08695652173913043
HPRR4320223	0.08695652173913043
HPRR4320247	0.0916030534351145
HPRR4320188	0.09620253164556962
HPRR4320173	0.105
HPRR4320703	0.105
HPRR4320045	0.105
HPRR4320286	0.10945273631840796
HPRR4320207	0.11764705882352941
HPRR4320468	0.11764705882352941
HPRR4320322	0.11764705882352941
HPRR4320074	0.11764705882352941
HPRR4320586	0.13106796116504854
HPRR3450023	0.14797136038186157
HPRR4320009	0.14797136038186157
HPRR4340087	0.14797136038186157
HPRR4320086	0.15639810426540285
HPRR4320133	0.16
HPRR4320638	0.16
HPRR4320657	0.16241299303944315
HPRR4310027	0.16241299303944315
HPRR4320505	0.16241299303944315
HPRR4340044	0.16241299303944315
HPRR4320107	0.16241299303944315
HPRR4320302	0.1689497716894977
HPRR4320521	0.1689497716894977
HPRR4320157	0.1689497716894977
HPRR4320035	0.1689497716894977
HPRR4320550	0.1689497716894977
HPRR4340089	0.17272727272727273
HPRR4320481	0.18876404494382024
HPRR4320174	0.2039911308203991
HPRR4320513	0.2039911308203991
HPRR4320391	0.21929824561403508
HPRR4320359	0.2606837606837607
HPRR4320257	0.26382978723404255
HPRR4340038	0.26526315789473687
HPRR4340092	0.26526315789473687
HPRR4340019	0.26526315789473687
HPRR4320184	0.26526315789473687
HPRR4290954	0.2719665271966527
HPRR4320255	0.2985685071574642
HPRR4320677	0.2985685071574642
HPRR4320592	0.2985685071574642
HPRR4320263	0.3151515151515151
HPRR4320091	0.3246492985971944
HPRR4320085	0.3438735177865613
HPRR4320577	0.3464566929133858
HPRR4320536	0.34901960784313724
HPRR4320103	0.35019455252918286
HPRR4290886	0.35019455252918286
HPRR4320313	0.35019455252918286
HPRR4320397	0.35271317829457366
